_id,username,password
6506f2e27354b060b6c2ca75,team0,1234
6506f2f27354b060b6c2ca76,team1,1234
6506f2ff7354b060b6c2ca77,team2,1234
6506f30c7354b060b6c2ca78,team3,1234
6506f3117354b060b6c2ca79,team4,1234
6506f3237354b060b6c2ca7a,team5,1234
6506f3357354b060b6c2ca7b,team6,1234
6506f33d7354b060b6c2ca7c,team7,1234
6506f34b7354b060b6c2ca7d,team8,1234
6506f3547354b060b6c2ca7e,team9,1234
6506f3607354b060b6c2ca7f,team10,1234
6506f36a7354b060b6c2ca80,team11,1234
6506f3757354b060b6c2ca81,team12,1234
6506f38b7354b060b6c2ca83,team13,1234
6506f3937354b060b6c2ca84,team14,1234
6506f39c7354b060b6c2ca85,team15,1234
6506f3b07354b060b6c2ca87,team16,1234
6506f3c57354b060b6c2ca88,team17,1234
6506f3cf7354b060b6c2ca89,team18,1234
6506f3d97354b060b6c2ca8a,team19,1234
6506f3e37354b060b6c2ca8b,team20,1234
6506f3fc7354b060b6c2ca8c,team21,1234
6506f4067354b060b6c2ca8d,team22,1234
6506f4147354b060b6c2ca8e,team23,1234
6506f41e7354b060b6c2ca8f,team24,1234
6506f4287354b060b6c2ca90,team25,1234
6506f4377354b060b6c2ca91,team26,1234
6506f4407354b060b6c2ca92,team27,1234
6506f44b7354b060b6c2ca93,team28,1234
6506f4657354b060b6c2ca94,team29,1234
6506f4717354b060b6c2ca95,team30,1234
6506f4807354b060b6c2ca96,team31,1234
6506f48a7354b060b6c2ca97,team32,1234
6506f4957354b060b6c2ca98,team33,1234
6506f49f7354b060b6c2ca99,team34,1234
6506f4ac7354b060b6c2ca9a,team35,1234
6506f4b57354b060b6c2ca9b,team36,1234
6506f4be7354b060b6c2ca9c,team37,1234
6506f4c87354b060b6c2ca9d,team38,1234
6506f4d17354b060b6c2ca9e,team39,1234
6506f4da7354b060b6c2ca9f,team40,1234
6506f4e57354b060b6c2caa0,team41,1234
6506f4ef7354b060b6c2caa1,team42,1234
6506f4ff7354b060b6c2caa2,team43,1234
6506f5077354b060b6c2caa3,team44,1234
6506f5117354b060b6c2caa4,team45,1234
6506f51b7354b060b6c2caa5,team46,1234
6506f5247354b060b6c2caa6,team47,1234
6506f52e7354b060b6c2caa7,team48,1234
6506f5387354b060b6c2caa8,team49,1234
6506f5447354b060b6c2caa9,team50,1234
6506f54e7354b060b6c2caaa,team51,1234
6506f55d7354b060b6c2caab,team52,1234
6506f56b7354b060b6c2caac,team53,1234
6506f5747354b060b6c2caad,team54,1234
6506f57d7354b060b6c2caae,team55,1234
6506f5877354b060b6c2caaf,team56,1234
6506f5917354b060b6c2cab0,team57,1234
6506f59b7354b060b6c2cab1,team58,1234
6506f5a67354b060b6c2cab2,team59,1234
6506f5af7354b060b6c2cab3,team60,1234
